Variável,Importância
duration_ms,0.09981128217530495
tempo,0.09661405880842289
acousticness,0.09657807733844385
danceability,0.09514383628331671
valence,0.0947075909322873
loudness,0.09275358248280198
energy,0.08980122541840457
speechiness,0.0879857048838946
liveness,0.08312375272007995
instrumentalness,0.07136121849010303
key,0.05741230177881019
mode,0.017563274598640825
time_signature,0.010859818258620651
explicit,0.006284275830868434
